Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,France,France,FR,22.10,40.51,94.65,25.67,opendata.reseaux-energies.fr
2022-01-02 00:00:00,France,France,FR,19.99,37.76,95.04,31.05,opendata.reseaux-energies.fr
2022-01-03 00:00:00,France,France,FR,25.80,44.36,94.11,30.01,opendata.reseaux-energies.fr
2022-01-04 00:00:00,France,France,FR,38.04,58.83,91.43,26.10,opendata.reseaux-energies.fr
2022-01-05 00:00:00,France,France,FR,49.40,72.01,90.04,25.95,opendata.reseaux-energies.fr
2022-01-06 00:00:00,France,France,FR,65.86,90.89,87.72,23.11,opendata.reseaux-energies.fr
2022-01-07 00:00:00,France,France,FR,48.68,70.74,90.08,28.15,opendata.reseaux-energies.fr
2022-01-08 00:00:00,France,France,FR,38.83,58.28,92.61,28.51,opendata.reseaux-energies.fr
2022-01-09 00:00:00,France,France,FR,44.33,65.52,90.86,24.17,opendata.reseaux-energies.fr
2022-01-10 00:00:00,France,France,FR,70.12,97.17,85.12,20.20,opendata.reseaux-energies.fr
2022-01-11 00:00:00,France,France,FR,74.29,103.10,83.90,20.01,opendata.reseaux-energies.fr
2022-01-12 00:00:00,France,France,FR,76.36,105.68,83.62,20.83,opendata.reseaux-energies.fr
2022-01-13 00:00:00,France,France,FR,79.17,108.86,83.35,20.38,opendata.reseaux-energies.fr
2022-01-14 00:00:00,France,France,FR,85.79,116.26,82.80,19.77,opendata.reseaux-energies.fr
2022-01-15 00:00:00,France,France,FR,82.00,111.43,83.64,17.66,opendata.reseaux-energies.fr
2022-01-16 00:00:00,France,France,FR,65.74,93.11,85.64,18.24,opendata.reseaux-energies.fr
2022-01-17 00:00:00,France,France,FR,71.44,99.68,84.53,19.08,opendata.reseaux-energies.fr
2022-01-18 00:00:00,France,France,FR,78.51,107.56,83.60,19.04,opendata.reseaux-energies.fr
2022-01-19 00:00:00,France,France,FR,77.59,106.48,83.67,18.90,opendata.reseaux-energies.fr
2022-01-20 00:00:00,France,France,FR,72.64,100.33,84.71,20.44,opendata.reseaux-energies.fr
2022-01-21 00:00:00,France,France,FR,73.83,101.72,84.67,19.92,opendata.reseaux-energies.fr
2022-01-22 00:00:00,France,France,FR,78.95,108.05,83.50,15.13,opendata.reseaux-energies.fr
2022-01-23 00:00:00,France,France,FR,77.52,106.45,83.73,14.57,opendata.reseaux-energies.fr
2022-01-24 00:00:00,France,France,FR,78.61,108.09,83.58,18.75,opendata.reseaux-energies.fr
2022-01-25 00:00:00,France,France,FR,86.96,118.43,82.59,19.01,opendata.reseaux-energies.fr
2022-01-26 00:00:00,France,France,FR,83.17,113.43,83.24,19.05,opendata.reseaux-energies.fr
2022-01-27 00:00:00,France,France,FR,73.04,101.24,84.50,20.83,opendata.reseaux-energies.fr
2022-01-28 00:00:00,France,France,FR,76.50,105.37,83.87,17.80,opendata.reseaux-energies.fr
2022-01-29 00:00:00,France,France,FR,49.69,72.89,89.13,20.91,opendata.reseaux-energies.fr
2022-01-30 00:00:00,France,France,FR,49.43,74.11,87.95,14.05,opendata.reseaux-energies.fr
2022-01-31 00:00:00,France,France,FR,43.19,65.54,89.99,26.04,opendata.reseaux-energies.fr
2022-02-01 00:00:00,France,France,FR,48.69,72.54,88.77,23.97,opendata.reseaux-energies.fr
2022-02-02 00:00:00,France,France,FR,56.09,81.69,87.03,19.23,opendata.reseaux-energies.fr
2022-02-03 00:00:00,France,France,FR,60.99,88.06,85.99,17.25,opendata.reseaux-energies.fr
2022-02-04 00:00:00,France,France,FR,47.47,70.92,89.12,22.57,opendata.reseaux-energies.fr
2022-02-05 00:00:00,France,France,FR,35.60,57.42,91.43,23.09,opendata.reseaux-energies.fr
