DATAFLOW,LAST UPDATE,freq,src_crf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Austria,2014,97.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Austria,2015,99.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Austria,2016,100.9,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Austria,2017,103.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Austria,2018,99.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Austria,2019,101.3,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Austria,2020,93.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Austria,2021,98.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Austria,2022,92.3,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Austria,2023,86.3,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Belgium,2014,78.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Belgium,2015,81.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Belgium,2016,80.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Belgium,2017,80.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Belgium,2018,80.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Belgium,2019,79.9,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Belgium,2020,73.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Belgium,2021,75.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Belgium,2022,70.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Belgium,2023,67.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Bulgaria,2014,57.9,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Bulgaria,2015,61.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Bulgaria,2016,58.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Bulgaria,2017,60.3,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Bulgaria,2018,55.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Bulgaria,2019,54.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Bulgaria,2020,48.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Bulgaria,2021,54.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Bulgaria,2022,59.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Bulgaria,2023,45.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Cyprus,2014,148.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Cyprus,2015,149.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Cyprus,2016,157.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Cyprus,2017,160.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Cyprus,2018,158.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Cyprus,2019,151.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Cyprus,2020,144.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Cyprus,2021,146.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Cyprus,2022,149.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Cyprus,2023,152.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Czechia,2014,64.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Czechia,2015,64.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Czechia,2016,65.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Czechia,2017,65.9,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Czechia,2018,64.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Czechia,2019,61.9,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Czechia,2020,57.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Czechia,2021,59.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Czechia,2022,58.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Czechia,2023,52.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Germany,2014,71.3,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Germany,2015,72.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Germany,2016,71.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Germany,2017,70.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Germany,2018,68.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Germany,2019,63.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Germany,2020,58.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Germany,2021,60.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Germany,2022,59.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Germany,2023,53.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Denmark,2014,73.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Denmark,2015,69.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Denmark,2016,72.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Denmark,2017,69.3,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Denmark,2018,69.1,,
