Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2024-01-01 00:00:00,Hungary,Hungary,HU,142.77,173.30,81.22,27.90,entsoe.eu
2024-01-02 00:00:00,Hungary,Hungary,HU,159.96,191.69,79.26,28.91,entsoe.eu
2024-01-03 00:00:00,Hungary,Hungary,HU,157.79,189.50,78.58,29.66,entsoe.eu
2024-01-04 00:00:00,Hungary,Hungary,HU,186.02,225.34,71.77,27.80,entsoe.eu
2024-01-05 00:00:00,Hungary,Hungary,HU,200.90,243.49,69.09,25.07,entsoe.eu
2024-01-06 00:00:00,Hungary,Hungary,HU,222.68,266.14,65.64,17.60,entsoe.eu
2024-01-07 00:00:00,Hungary,Hungary,HU,216.92,258.52,67.39,24.93,entsoe.eu
2024-01-08 00:00:00,Hungary,Hungary,HU,227.34,273.32,63.61,24.98,entsoe.eu
2024-01-09 00:00:00,Hungary,Hungary,HU,246.68,297.34,60.25,19.90,entsoe.eu
2024-01-10 00:00:00,Hungary,Hungary,HU,247.07,296.80,61.44,22.37,entsoe.eu
2024-01-11 00:00:00,Hungary,Hungary,HU,244.58,294.08,61.92,23.10,entsoe.eu
2024-01-12 00:00:00,Hungary,Hungary,HU,248.94,299.50,61.02,22.46,entsoe.eu
2024-01-13 00:00:00,Hungary,Hungary,HU,219.93,264.31,67.91,24.48,entsoe.eu
2024-01-14 00:00:00,Hungary,Hungary,HU,218.91,261.81,68.43,22.50,entsoe.eu
2024-01-15 00:00:00,Hungary,Hungary,HU,228.86,276.28,64.49,24.37,entsoe.eu
2024-01-16 00:00:00,Hungary,Hungary,HU,214.05,263.54,63.92,25.21,entsoe.eu
2024-01-17 00:00:00,Hungary,Hungary,HU,235.60,285.00,61.26,19.70,entsoe.eu
2024-01-18 00:00:00,Hungary,Hungary,HU,223.91,271.99,62.04,19.49,entsoe.eu
2024-01-19 00:00:00,Hungary,Hungary,HU,223.45,270.40,63.99,22.28,entsoe.eu
2024-01-20 00:00:00,Hungary,Hungary,HU,215.48,258.62,68.86,23.39,entsoe.eu
2024-01-21 00:00:00,Hungary,Hungary,HU,202.66,242.11,72.87,24.85,entsoe.eu
2024-01-22 00:00:00,Hungary,Hungary,HU,237.55,281.01,66.99,26.26,entsoe.eu
2024-01-23 00:00:00,Hungary,Hungary,HU,231.70,274.17,68.27,27.14,entsoe.eu
2024-01-24 00:00:00,Hungary,Hungary,HU,225.49,267.95,68.34,26.07,entsoe.eu
2024-01-25 00:00:00,Hungary,Hungary,HU,191.09,229.90,72.78,33.96,entsoe.eu
2024-01-26 00:00:00,Hungary,Hungary,HU,210.55,251.91,70.67,29.88,entsoe.eu
2024-01-27 00:00:00,Hungary,Hungary,HU,164.79,199.34,77.59,36.48,entsoe.eu
2024-01-28 00:00:00,Hungary,Hungary,HU,174.85,210.14,76.21,27.28,entsoe.eu
2024-01-29 00:00:00,Hungary,Hungary,HU,210.43,250.80,69.86,26.32,entsoe.eu
