Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2024-01-01 00:00:00,Latvia,Latvia,LV,92.90,128.00,85.59,84.94,entsoe.eu
2024-01-02 00:00:00,Latvia,Latvia,LV,149.12,202.50,68.46,67.56,entsoe.eu
2024-01-03 00:00:00,Latvia,Latvia,LV,144.04,198.06,68.78,68.17,entsoe.eu
2024-01-04 00:00:00,Latvia,Latvia,LV,197.00,264.40,57.13,55.89,entsoe.eu
2024-01-05 00:00:00,Latvia,Latvia,LV,207.41,279.16,53.29,51.93,entsoe.eu
2024-01-06 00:00:00,Latvia,Latvia,LV,228.79,300.86,50.31,49.03,entsoe.eu
2024-01-07 00:00:00,Latvia,Latvia,LV,279.21,365.56,37.08,34.93,entsoe.eu
2024-01-08 00:00:00,Latvia,Latvia,LV,212.97,286.91,48.19,46.38,entsoe.eu
2024-01-09 00:00:00,Latvia,Latvia,LV,228.36,296.99,49.88,44.84,entsoe.eu
2024-01-10 00:00:00,Latvia,Latvia,LV,263.79,337.60,44.63,38.37,entsoe.eu
2024-01-11 00:00:00,Latvia,Latvia,LV,175.34,233.69,63.34,59.33,entsoe.eu
2024-01-12 00:00:00,Latvia,Latvia,LV,162.15,225.84,61.81,59.60,entsoe.eu
2024-01-13 00:00:00,Latvia,Latvia,LV,217.74,289.33,46.99,44.32,entsoe.eu
2024-01-14 00:00:00,Latvia,Latvia,LV,206.46,284.98,45.96,45.12,entsoe.eu
2024-01-15 00:00:00,Latvia,Latvia,LV,216.29,297.75,45.09,44.21,entsoe.eu
2024-01-16 00:00:00,Latvia,Latvia,LV,243.86,332.27,38.83,37.92,entsoe.eu
2024-01-17 00:00:00,Latvia,Latvia,LV,222.94,303.77,43.57,42.20,entsoe.eu
2024-01-18 00:00:00,Latvia,Latvia,LV,229.73,310.31,41.28,39.91,entsoe.eu
2024-01-19 00:00:00,Latvia,Latvia,LV,225.14,308.64,40.84,40.49,entsoe.eu
2024-01-20 00:00:00,Latvia,Latvia,LV,248.90,337.24,35.89,35.34,entsoe.eu
2024-01-21 00:00:00,Latvia,Latvia,LV,177.63,241.08,56.55,53.33,entsoe.eu
2024-01-22 00:00:00,Latvia,Latvia,LV,168.15,225.04,60.01,55.84,entsoe.eu
2024-01-23 00:00:00,Latvia,Latvia,LV,158.77,218.21,60.03,57.81,entsoe.eu
2024-01-24 00:00:00,Latvia,Latvia,LV,151.57,212.24,64.72,63.51,entsoe.eu
