Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,Slovakia,Slovakia,SK,185.16,218.24,77.28,26.79,entsoe.eu
2022-01-02 00:00:00,Slovakia,Slovakia,SK,233.03,268.79,72.74,27.39,entsoe.eu
2022-01-03 00:00:00,Slovakia,Slovakia,SK,285.47,324.76,66.58,24.00,entsoe.eu
2022-01-04 00:00:00,Slovakia,Slovakia,SK,330.84,373.26,60.92,19.89,entsoe.eu
2022-01-05 00:00:00,Slovakia,Slovakia,SK,299.58,337.26,66.61,22.56,entsoe.eu
2022-01-06 00:00:00,Slovakia,Slovakia,SK,253.50,296.23,67.34,23.44,entsoe.eu
2022-01-07 00:00:00,Slovakia,Slovakia,SK,321.48,364.40,61.92,21.00,entsoe.eu
2022-01-08 00:00:00,Slovakia,Slovakia,SK,329.13,369.57,63.56,19.41,entsoe.eu
2022-01-09 00:00:00,Slovakia,Slovakia,SK,333.46,375.00,63.02,19.86,entsoe.eu
2022-01-10 00:00:00,Slovakia,Slovakia,SK,288.77,331.98,63.45,17.99,entsoe.eu
2022-01-11 00:00:00,Slovakia,Slovakia,SK,264.05,306.76,65.07,18.28,entsoe.eu
2022-01-12 00:00:00,Slovakia,Slovakia,SK,313.49,358.07,60.49,17.63,entsoe.eu
2022-01-13 00:00:00,Slovakia,Slovakia,SK,373.45,416.92,57.34,18.98,entsoe.eu
2022-01-14 00:00:00,Slovakia,Slovakia,SK,348.04,391.29,59.05,19.11,entsoe.eu
2022-01-15 00:00:00,Slovakia,Slovakia,SK,307.22,351.60,61.71,16.38,entsoe.eu
2022-01-16 00:00:00,Slovakia,Slovakia,SK,363.82,405.64,60.45,17.38,entsoe.eu
2022-01-17 00:00:00,Slovakia,Slovakia,SK,358.61,403.11,58.85,19.30,entsoe.eu
2022-01-18 00:00:00,Slovakia,Slovakia,SK,344.67,389.37,59.09,15.92,entsoe.eu
2022-01-19 00:00:00,Slovakia,Slovakia,SK,395.02,440.90,55.32,16.94,entsoe.eu
2022-01-20 00:00:00,Slovakia,Slovakia,SK,382.51,426.13,56.70,18.56,entsoe.eu
2022-01-21 00:00:00,Slovakia,Slovakia,SK,384.26,429.15,56.11,17.56,entsoe.eu
2022-01-22 00:00:00,Slovakia,Slovakia,SK,384.27,430.66,55.40,14.68,entsoe.eu
2022-01-23 00:00:00,Slovakia,Slovakia,SK,374.17,419.65,56.95,12.22,entsoe.eu
2022-01-24 00:00:00,Slovakia,Slovakia,SK,358.63,406.20,56.43,14.82,entsoe.eu
2022-01-25 00:00:00,Slovakia,Slovakia,SK,385.57,433.62,54.36,15.35,entsoe.eu
2022-01-26 00:00:00,Slovakia,Slovakia,SK,404.11,451.00,53.49,16.11,entsoe.eu
2022-01-27 00:00:00,Slovakia,Slovakia,SK,363.83,407.68,58.07,19.95,entsoe.eu
2022-01-28 00:00:00,Slovakia,Slovakia,SK,341.16,384.66,59.57,18.69,entsoe.eu
2022-01-29 00:00:00,Slovakia,Slovakia,SK,326.76,367.73,63.72,20.71,entsoe.eu
2022-01-30 00:00:00,Slovakia,Slovakia,SK,318.29,359.12,64.62,19.63,entsoe.eu
2022-01-31 00:00:00,Slovakia,Slovakia,SK,350.64,394.92,58.16,15.92,entsoe.eu
2022-02-01 00:00:00,Slovakia,Slovakia,SK,374.86,421.05,56.72,18.79,entsoe.eu
2022-02-02 00:00:00,Slovakia,Slovakia,SK,365.67,411.09,57.58,18.38,entsoe.eu
2022-02-03 00:00:00,Slovakia,Slovakia,SK,365.05,411.09,56.95,16.74,entsoe.eu
2022-02-04 00:00:00,Slovakia,Slovakia,SK,368.25,413.44,57.34,18.03,entsoe.eu
2022-02-05 00:00:00,Slovakia,Slovakia,SK,308.05,347.33,65.88,23.28,entsoe.eu
2022-02-06 00:00:00,Slovakia,Slovakia,SK,291.31,330.48,67.09,23.51,entsoe.eu
2022-02-07 00:00:00,Slovakia,Slovakia,SK,297.54,340.93,63.35,20.34,entsoe.eu
2022-02-08 00:00:00,Slovakia,Slovakia,SK,323.67,368.14,61.90,21.37,entsoe.eu
2022-02-09 00:00:00,Slovakia,Slovakia,SK,342.62,387.84,59.77,20.04,entsoe.eu
2022-02-10 00:00:00,Slovakia,Slovakia,SK,347.59,392.99,58.72,18.69,entsoe.eu
2022-02-11 00:00:00,Slovakia,Slovakia,SK,353.05,399.59,57.71,18.33,entsoe.eu
2022-02-12 00:00:00,Slovakia,Slovakia,SK,298.05,337.47,66.17,20.70,entsoe.eu
2022-02-13 00:00:00,Slovakia,Slovakia,SK,280.96,321.26,67.90,24.34,entsoe.eu
2022-02-14 00:00:00,Slovakia,Slovakia,SK,320.77,363.66,62.32,22.66,entsoe.eu
2022-02-15 00:00:00,Slovakia,Slovakia,SK,343.23,387.59,60.24,20.08,entsoe.eu
2022-02-16 00:00:00,Slovakia,Slovakia,SK,317.67,359.20,62.87,23.29,entsoe.eu
2022-02-17 00:00:00,Slovakia,Slovakia,SK,293.10,332.75,65.23,23.21,entsoe.eu
2022-02-18 00:00:00,Slovakia,Slovakia,SK,299.76,339.54,65.48,25.80,entsoe.eu
2022-02-19 00:00:00,Slovakia,Slovakia,SK,307.34,346.28,66.69,27.37,entsoe.eu
2022-02-20 00:00:00,Slovakia,Slovakia,SK,300.39,339.22,66.75,26.25,entsoe.eu
2022-02-21 00:00:00,Slovakia,Slovakia,SK,312.50,352.28,64.16,25.40,entsoe.eu
2022-02-22 00:00:00,Slovakia,Slovakia,SK,337.96,377.98,61.40,23.39,entsoe.eu
2022-02-23 00:00:00,Slovakia,Slovakia,SK,360.10,402.66,58.84,22.47,entsoe.eu
2022-02-24 00:00:00,Slovakia,Slovakia,SK,345.46,384.65,62.73,24.87,entsoe.eu
2022-02-25 00:00:00,Slovakia,Slovakia,SK,350.35,389.68,62.39,24.54,entsoe.eu
2022-02-26 00:00:00,Slovakia,Slovakia,SK,346.10,386.97,62.40,18.17,entsoe.eu
2022-02-27 00:00:00,Slovakia,Slovakia,SK,339.74,380.46,62.71,18.19,entsoe.eu
2022-02-28 00:00:00,Slovakia,Slovakia,SK,355.77,396.33,61.90,20.51,entsoe.eu
2022-03-01 00:00:00,Slovakia,Slovakia,SK,367.46,408.05,60.20,19.52,entsoe.eu
2022-03-02 00:00:00,Slovakia,Slovakia,SK,344.01,385.29,61.56,18.93,entsoe.eu
