DATAFLOW,LAST UPDATE,freq,stk_flow,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2020-12,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2021-01,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2021-02,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2021-03,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2021-04,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2021-05,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2021-06,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2021-07,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2021-08,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2021-09,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2021-10,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2021-11,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2021-12,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2022-01,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2022-02,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2022-03,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2022-04,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2022-05,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2022-06,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2022-07,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2022-08,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2022-09,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2022-10,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2022-11,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2022-12,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2023-01,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2023-02,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2023-03,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2023-04,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2023-05,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2023-06,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2023-07,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2023-08,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2023-09,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2023-10,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2023-11,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2023-12,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2024-01,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2024-02,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2024-03,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2024-04,0,,
ESTAT:NRG_STK_OEM(1.0),07/05/25 23:00:00,Monthly,Emergency Stocks held by the MS in accordance with the EU Directive (in Days Equivalent),Number,Albania,2024-05,0,,
