Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,France,France,FR,34.73,54.51,92.0,16.85,opendata.reseaux-energies.fr
2021-01-02 00:00:00,France,France,FR,45.11,67.03,89.9,17.72,opendata.reseaux-energies.fr
2021-01-03 00:00:00,France,France,FR,48.58,70.63,90.07,17.4,opendata.reseaux-energies.fr
2021-01-04 00:00:00,France,France,FR,69.0,95.13,86.12,19.6,opendata.reseaux-energies.fr
2021-01-05 00:00:00,France,France,FR,80.11,107.98,84.49,21.1,opendata.reseaux-energies.fr
2021-01-06 00:00:00,France,France,FR,83.61,112.02,83.77,19.61,opendata.reseaux-energies.fr
2021-01-07 00:00:00,France,France,FR,88.07,117.0,83.26,20.21,opendata.reseaux-energies.fr
2021-01-08 00:00:00,France,France,FR,84.78,113.47,83.59,20.59,opendata.reseaux-energies.fr
2021-01-09 00:00:00,France,France,FR,79.94,107.63,84.44,19.1,opendata.reseaux-energies.fr
2021-01-10 00:00:00,France,France,FR,76.65,103.76,85.12,17.54,opendata.reseaux-energies.fr
2021-01-11 00:00:00,France,France,FR,73.82,100.14,85.4,22.63,opendata.reseaux-energies.fr
2021-01-12 00:00:00,France,France,FR,65.43,90.34,86.72,25.12,opendata.reseaux-energies.fr
2021-01-13 00:00:00,France,France,FR,63.28,87.86,86.91,23.65,opendata.reseaux-energies.fr
2021-01-14 00:00:00,France,France,FR,54.54,77.05,88.63,25.12,opendata.reseaux-energies.fr
2021-01-15 00:00:00,France,France,FR,59.86,82.86,88.07,24.57,opendata.reseaux-energies.fr
2021-01-16 00:00:00,France,France,FR,70.37,96.21,86.04,21.17,opendata.reseaux-energies.fr
2021-01-17 00:00:00,France,France,FR,55.53,78.91,88.29,19.28,opendata.reseaux-energies.fr
2021-01-18 00:00:00,France,France,FR,64.56,89.46,86.73,22.8,opendata.reseaux-energies.fr
2021-01-19 00:00:00,France,France,FR,49.67,71.82,89.62,28.7,opendata.reseaux-energies.fr
2021-01-20 00:00:00,France,France,FR,36.68,56.04,92.14,28.61,opendata.reseaux-energies.fr
2021-01-21 00:00:00,France,France,FR,27.7,45.55,93.78,29.22,opendata.reseaux-energies.fr
2021-01-22 00:00:00,France,France,FR,42.59,64.2,90.16,24.25,opendata.reseaux-energies.fr
2021-01-23 00:00:00,France,France,FR,28.08,45.76,93.73,25.27,opendata.reseaux-energies.fr
2021-01-24 00:00:00,France,France,FR,26.15,43.01,94.43,24.92,opendata.reseaux-energies.fr
2021-01-25 00:00:00,France,France,FR,54.33,77.12,88.6,25.79,opendata.reseaux-energies.fr
2021-01-26 00:00:00,France,France,FR,67.7,93.11,86.61,25.19,opendata.reseaux-energies.fr
2021-01-27 00:00:00,France,France,FR,54.49,77.81,88.22,24.21,opendata.reseaux-energies.fr
2021-01-28 00:00:00,France,France,FR,40.73,62.12,90.36,28.7,opendata.reseaux-energies.fr
2021-01-29 00:00:00,France,France,FR,19.63,36.25,95.1,32.57,opendata.reseaux-energies.fr
2021-01-30 00:00:00,France,France,FR,21.88,38.9,94.61,28.95,opendata.reseaux-energies.fr
2021-01-31 00:00:00,France,France,FR,21.33,38.31,94.7,25.46,opendata.reseaux-energies.fr
2021-02-01 00:00:00,France,France,FR,40.05,60.96,90.48,25.08,opendata.reseaux-energies.fr
2021-02-02 00:00:00,France,France,FR,28.82,47.77,92.77,28.84,opendata.reseaux-energies.fr
2021-02-03 00:00:00,France,France,FR,21.54,38.3,94.66,29.55,opendata.reseaux-energies.fr
2021-02-04 00:00:00,France,France,FR,38.6,59.47,90.58,22.06,opendata.reseaux-energies.fr
2021-02-05 00:00:00,France,France,FR,37.74,58.88,90.43,20.72,opendata.reseaux-energies.fr
2021-02-06 00:00:00,France,France,FR,21.39,38.28,94.7,24.21,opendata.reseaux-energies.fr
2021-02-07 00:00:00,France,France,FR,21.37,38.46,94.78,25.54,opendata.reseaux-energies.fr
2021-02-08 00:00:00,France,France,FR,55.41,80.0,87.92,23.97,opendata.reseaux-energies.fr
2021-02-09 00:00:00,France,France,FR,62.38,87.67,87.02,25.45,opendata.reseaux-energies.fr
2021-02-10 00:00:00,France,France,FR,57.8,81.85,87.64,27.8,opendata.reseaux-energies.fr
2021-02-11 00:00:00,France,France,FR,59.93,84.88,86.99,27.7,opendata.reseaux-energies.fr
2021-02-12 00:00:00,France,France,FR,53.08,77.15,87.81,29.34,opendata.reseaux-energies.fr
2021-02-13 00:00:00,France,France,FR,49.3,73.47,88.42,29.29,opendata.reseaux-energies.fr
2021-02-14 00:00:00,France,France,FR,38.51,59.89,91.31,30.38,opendata.reseaux-energies.fr
2021-02-15 00:00:00,France,France,FR,47.8,71.13,88.98,31.09,opendata.reseaux-energies.fr
