Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,Hungary,Hungary,HU,236.0,277.99,65.15,18.17,entsoe.eu
2021-01-02 00:00:00,Hungary,Hungary,HU,235.52,277.76,65.19,18.4,entsoe.eu
2021-01-03 00:00:00,Hungary,Hungary,HU,244.1,285.91,64.59,14.46,entsoe.eu
2021-01-04 00:00:00,Hungary,Hungary,HU,278.2,327.59,56.86,10.92,entsoe.eu
2021-01-05 00:00:00,Hungary,Hungary,HU,283.91,333.95,55.39,14.37,entsoe.eu
2021-01-06 00:00:00,Hungary,Hungary,HU,281.61,331.83,55.68,15.9,entsoe.eu
2021-01-07 00:00:00,Hungary,Hungary,HU,282.7,332.18,55.91,17.08,entsoe.eu
2021-01-08 00:00:00,Hungary,Hungary,HU,286.96,337.85,54.63,17.19,entsoe.eu
2021-01-09 00:00:00,Hungary,Hungary,HU,267.03,315.82,58.27,14.94,entsoe.eu
2021-01-10 00:00:00,Hungary,Hungary,HU,265.28,315.21,58.17,11.37,entsoe.eu
2021-01-11 00:00:00,Hungary,Hungary,HU,277.83,330.41,55.75,11.62,entsoe.eu
2021-01-12 00:00:00,Hungary,Hungary,HU,284.46,335.16,55.8,12.71,entsoe.eu
2021-01-13 00:00:00,Hungary,Hungary,HU,269.47,320.16,57.66,16.4,entsoe.eu
2021-01-14 00:00:00,Hungary,Hungary,HU,273.49,324.48,56.3,16.4,entsoe.eu
2021-01-15 00:00:00,Hungary,Hungary,HU,289.7,342.78,53.79,14.95,entsoe.eu
2021-01-16 00:00:00,Hungary,Hungary,HU,273.33,324.46,56.55,13.77,entsoe.eu
2021-01-17 00:00:00,Hungary,Hungary,HU,278.19,329.52,56.46,10.8,entsoe.eu
2021-01-18 00:00:00,Hungary,Hungary,HU,291.46,345.09,53.62,13.5,entsoe.eu
2021-01-19 00:00:00,Hungary,Hungary,HU,288.4,339.72,55.39,14.98,entsoe.eu
2021-01-20 00:00:00,Hungary,Hungary,HU,279.22,328.94,57.02,15.1,entsoe.eu
2021-01-21 00:00:00,Hungary,Hungary,HU,269.93,317.68,58.87,16.36,entsoe.eu
2021-01-22 00:00:00,Hungary,Hungary,HU,261.75,309.48,59.61,18.99,entsoe.eu
