Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,Slovakia,Slovakia,SK,211.66,256.34,67.68,17.16,entsoe.eu
2021-01-02 00:00:00,Slovakia,Slovakia,SK,229.15,276.89,64.9,16.4,entsoe.eu
2021-01-03 00:00:00,Slovakia,Slovakia,SK,252.65,301.14,63.47,16.03,entsoe.eu
2021-01-04 00:00:00,Slovakia,Slovakia,SK,274.89,320.73,61.82,16.06,entsoe.eu
2021-01-05 00:00:00,Slovakia,Slovakia,SK,237.98,284.77,64.37,16.12,entsoe.eu
2021-01-06 00:00:00,Slovakia,Slovakia,SK,224.68,272.64,64.82,15.27,entsoe.eu
2021-01-07 00:00:00,Slovakia,Slovakia,SK,246.23,294.12,63.25,16.27,entsoe.eu
2021-01-08 00:00:00,Slovakia,Slovakia,SK,240.23,286.43,64.15,16.06,entsoe.eu
2021-01-09 00:00:00,Slovakia,Slovakia,SK,245.94,293.32,63.15,14.17,entsoe.eu
2021-01-10 00:00:00,Slovakia,Slovakia,SK,257.07,304.65,63.0,14.28,entsoe.eu
2021-01-11 00:00:00,Slovakia,Slovakia,SK,290.43,336.36,60.91,16.72,entsoe.eu
2021-01-12 00:00:00,Slovakia,Slovakia,SK,321.88,367.69,58.36,15.74,entsoe.eu
2021-01-13 00:00:00,Slovakia,Slovakia,SK,319.12,364.09,58.77,14.92,entsoe.eu
2021-01-14 00:00:00,Slovakia,Slovakia,SK,281.06,324.37,61.95,15.79,entsoe.eu
2021-01-15 00:00:00,Slovakia,Slovakia,SK,280.03,324.98,61.28,15.12,entsoe.eu
2021-01-16 00:00:00,Slovakia,Slovakia,SK,284.81,331.34,60.25,13.55,entsoe.eu
2021-01-17 00:00:00,Slovakia,Slovakia,SK,310.17,357.14,58.2,12.35,entsoe.eu
2021-01-18 00:00:00,Slovakia,Slovakia,SK,327.38,373.47,57.67,15.41,entsoe.eu
2021-01-19 00:00:00,Slovakia,Slovakia,SK,351.95,397.6,55.57,14.83,entsoe.eu
2021-01-20 00:00:00,Slovakia,Slovakia,SK,350.4,396.94,55.76,16.06,entsoe.eu
2021-01-21 00:00:00,Slovakia,Slovakia,SK,327.46,373.69,57.83,17.67,entsoe.eu
